None,E(keV),psi0rSi111,psi0iSi111,psihrSi111,psihiSi111,psihbrSi111,psihbiSi111
257,14.8,-4.4351e-06,3.1285e-08,2.3378e-06,2.1823e-08,2.3378e-06,2.1823e-08
258,14.85,-4.4052e-06,3.0866e-08,2.322e-06,2.1531e-08,2.322e-06,2.1531e-08
259,14.9,-4.3755e-06,3.0454e-08,2.3063e-06,2.1243e-08,2.3063e-06,2.1243e-08
260,14.95,-4.3461e-06,3.0048e-08,2.2908e-06,2.0961e-08,2.2908e-06,2.0961e-08
261,15.0,-4.3171e-06,2.965e-08,2.2755e-06,2.0683e-08,2.2755e-06,2.0683e-08
262,15.05,-4.2883e-06,2.9257e-08,2.2603e-06,2.0409e-08,2.2603e-06,2.0409e-08
263,15.1,-4.2598e-06,2.8872e-08,2.2453e-06,2.014e-08,2.2453e-06,2.014e-08
264,15.15,-4.2316e-06,2.8492e-08,2.2304e-06,1.9876e-08,2.2304e-06,1.9876e-08
265,15.2,-4.2036e-06,2.8119e-08,2.2156e-06,1.9616e-08,2.2156e-06,1.9616e-08
266,15.25,-4.176e-06,2.7752e-08,2.201e-06,1.936e-08,2.201e-06,1.936e-08
267,15.3,-4.1486e-06,2.7391e-08,2.1866e-06,1.9108e-08,2.1866e-06,1.9108e-08
268,15.35,-4.1215e-06,2.7036e-08,2.1722e-06,1.886e-08,2.1722e-06,1.886e-08
269,15.4,-4.0946e-06,2.6686e-08,2.1581e-06,1.8616e-08,2.1581e-06,1.8616e-08
270,15.45,-4.068e-06,2.6342e-08,2.144e-06,1.8376e-08,2.144e-06,1.8376e-08
271,15.5,-4.0417e-06,2.6003e-08,2.1301e-06,1.814e-08,2.1301e-06,1.814e-08
272,15.55,-4.0156e-06,2.567e-08,2.1164e-06,1.7908e-08,2.1164e-06,1.7908e-08
273,15.6,-3.9898e-06,2.5342e-08,2.1027e-06,1.7679e-08,2.1027e-06,1.7679e-08
274,15.65,-3.9642e-06,2.502e-08,2.0892e-06,1.7454e-08,2.0892e-06,1.7454e-08
275,15.7,-3.9389e-06,2.4702e-08,2.0759e-06,1.7233e-08,2.0759e-06,1.7233e-08
276,15.75,-3.9138e-06,2.439e-08,2.0626e-06,1.7015e-08,2.0626e-06,1.7015e-08
277,15.8,-3.889e-06,2.4082e-08,2.0495e-06,1.68e-08,2.0495e-06,1.68e-08
278,15.85,-3.8643e-06,2.3779e-08,2.0365e-06,1.6589e-08,2.0365e-06,1.6589e-08
279,15.9,-3.84e-06,2.3481e-08,2.0236e-06,1.6381e-08,2.0236e-06,1.6381e-08
280,15.95,-3.8158e-06,2.3188e-08,2.0109e-06,1.6176e-08,2.0109e-06,1.6176e-08
281,16.0,-3.7919e-06,2.2899e-08,1.9983e-06,1.5975e-08,1.9983e-06,1.5975e-08
282,16.05,-3.7682e-06,2.2614e-08,1.9858e-06,1.5776e-08,1.9858e-06,1.5776e-08
283,16.1,-3.7447e-06,2.2334e-08,1.9734e-06,1.5581e-08,1.9734e-06,1.5581e-08
284,16.15,-3.7215e-06,2.2058e-08,1.9611e-06,1.5389e-08,1.9611e-06,1.5389e-08
285,16.2,-3.6984e-06,2.1787e-08,1.9489e-06,1.5199e-08,1.9489e-06,1.5199e-08
286,16.25,-3.6756e-06,2.1519e-08,1.9369e-06,1.5013e-08,1.9369e-06,1.5013e-08
287,16.3,-3.653e-06,2.1256e-08,1.9249e-06,1.4829e-08,1.9249e-06,1.4829e-08
288,16.35,-3.6306e-06,2.0997e-08,1.9131e-06,1.4648e-08,1.9131e-06,1.4648e-08
289,16.4,-3.6083e-06,2.0741e-08,1.9014e-06,1.447e-08,1.9014e-06,1.447e-08
290,16.45,-3.5863e-06,2.049e-08,1.8898e-06,1.4295e-08,1.8898e-06,1.4295e-08
291,16.5,-3.5645e-06,2.0242e-08,1.8783e-06,1.4122e-08,1.8783e-06,1.4122e-08
292,16.55,-3.5429e-06,1.9998e-08,1.8669e-06,1.3952e-08,1.8669e-06,1.3952e-08
293,16.6,-3.5215e-06,1.9757e-08,1.8556e-06,1.3784e-08,1.8556e-06,1.3784e-08
294,16.65,-3.5003e-06,1.952e-08,1.8444e-06,1.3619e-08,1.8444e-06,1.3619e-08
295,16.7,-3.4793e-06,1.9287e-08,1.8333e-06,1.3456e-08,1.8333e-06,1.3456e-08
296,16.75,-3.4585e-06,1.9057e-08,1.8223e-06,1.3296e-08,1.8223e-06,1.3296e-08
297,16.8,-3.4378e-06,1.8831e-08,1.8114e-06,1.3138e-08,1.8114e-06,1.3138e-08
298,16.85,-3.4174e-06,1.8608e-08,1.8006e-06,1.2982e-08,1.8006e-06,1.2982e-08
299,16.9,-3.3971e-06,1.8388e-08,1.7899e-06,1.2829e-08,1.7899e-06,1.2829e-08
300,16.95,-3.377e-06,1.8171e-08,1.7793e-06,1.2678e-08,1.7793e-06,1.2678e-08
301,17.0,-3.3571e-06,1.7958e-08,1.7688e-06,1.2529e-08,1.7688e-06,1.2529e-08
302,17.05,-3.3373e-06,1.7747e-08,1.7584e-06,1.2382e-08,1.7584e-06,1.2382e-08
303,17.1,-3.3177e-06,1.754e-08,1.7481e-06,1.2237e-08,1.7481e-06,1.2237e-08
304,17.15,-3.2983e-06,1.7336e-08,1.7378e-06,1.2095e-08,1.7378e-06,1.2095e-08
305,17.2,-3.2791e-06,1.7134e-08,1.7277e-06,1.1955e-08,1.7277e-06,1.1955e-08
306,17.25,-3.26e-06,1.6936e-08,1.7176e-06,1.1816e-08,1.7176e-06,1.1816e-08
307,17.3,-3.2411e-06,1.674e-08,1.7076e-06,1.168e-08,1.7076e-06,1.168e-08
308,17.35,-3.2224e-06,1.6548e-08,1.6978e-06,1.1545e-08,1.6978e-06,1.1545e-08
309,17.4,-3.2038e-06,1.6358e-08,1.688e-06,1.1413e-08,1.688e-06,1.1413e-08
310,17.45,-3.1854e-06,1.617e-08,1.6782e-06,1.1282e-08,1.6782e-06,1.1282e-08
311,17.5,-3.1672e-06,1.5986e-08,1.6686e-06,1.1153e-08,1.6686e-06,1.1153e-08
312,17.55,-3.1491e-06,1.5804e-08,1.6591e-06,1.1026e-08,1.6591e-06,1.1026e-08
313,17.6,-3.1311e-06,1.5624e-08,1.6496e-06,1.0901e-08,1.6496e-06,1.0901e-08
314,17.65,-3.1133e-06,1.5447e-08,1.6402e-06,1.0778e-08,1.6402e-06,1.0778e-08
315,17.7,-3.0957e-06,1.5273e-08,1.6309e-06,1.0656e-08,1.6309e-06,1.0656e-08
316,17.75,-3.0782e-06,1.5101e-08,1.6217e-06,1.0536e-08,1.6217e-06,1.0536e-08
317,17.8,-3.0609e-06,1.4931e-08,1.6125e-06,1.0418e-08,1.6125e-06,1.0418e-08
318,17.85,-3.0437e-06,1.4764e-08,1.6035e-06,1.0301e-08,1.6035e-06,1.0301e-08
319,17.9,-3.0266e-06,1.4599e-08,1.5945e-06,1.0186e-08,1.5945e-06,1.0186e-08
320,17.95,-3.0097e-06,1.4436e-08,1.5856e-06,1.0072e-08,1.5856e-06,1.0072e-08
321,18.0,-2.993e-06,1.4276e-08,1.5767e-06,9.9606e-09,1.5767e-06,9.9606e-09
322,18.05,-2.9763e-06,1.4118e-08,1.5679e-06,9.8502e-09,1.5679e-06,9.8502e-09
323,18.1,-2.9598e-06,1.3962e-08,1.5592e-06,9.7414e-09,1.5592e-06,9.7414e-09
324,18.15,-2.9435e-06,1.3808e-08,1.5506e-06,9.634e-09,1.5506e-06,9.634e-09
325,18.2,-2.9273e-06,1.3656e-08,1.5421e-06,9.5282e-09,1.5421e-06,9.5282e-09
326,18.25,-2.9112e-06,1.3506e-08,1.5336e-06,9.4238e-09,1.5336e-06,9.4238e-09
327,18.3,-2.8952e-06,1.3359e-08,1.5252e-06,9.3208e-09,1.5252e-06,9.3208e-09
328,18.35,-2.8794e-06,1.3213e-08,1.5168e-06,9.2191e-09,1.5168e-06,9.2191e-09
329,18.4,-2.8637e-06,1.3069e-08,1.5085e-06,9.1189e-09,1.5085e-06,9.1189e-09
330,18.45,-2.8482e-06,1.2927e-08,1.5003e-06,9.02e-09,1.5003e-06,9.02e-09
331,18.5,-2.8327e-06,1.2788e-08,1.4922e-06,8.9225e-09,1.4922e-06,8.9225e-09
332,18.55,-2.8174e-06,1.265e-08,1.4841e-06,8.8262e-09,1.4841e-06,8.8262e-09
333,18.6,-2.8022e-06,1.2513e-08,1.4761e-06,8.7313e-09,1.4761e-06,8.7313e-09
334,18.65,-2.7872e-06,1.2379e-08,1.4682e-06,8.6376e-09,1.4682e-06,8.6376e-09
335,18.7,-2.7722e-06,1.2247e-08,1.4603e-06,8.5452e-09,1.4603e-06,8.5452e-09
336,18.75,-2.7574e-06,1.2116e-08,1.4525e-06,8.454e-09,1.4525e-06,8.454e-09
337,18.8,-2.7427e-06,1.1987e-08,1.4447e-06,8.364e-09,1.4447e-06,8.364e-09
338,18.85,-2.7281e-06,1.186e-08,1.437e-06,8.2751e-09,1.437e-06,8.2751e-09
339,18.9,-2.7136e-06,1.1734e-08,1.4294e-06,8.1875e-09,1.4294e-06,8.1875e-09
340,18.95,-2.6993e-06,1.161e-08,1.4218e-06,8.101e-09,1.4218e-06,8.101e-09
341,19.0,-2.685e-06,1.1488e-08,1.4143e-06,8.0156e-09,1.4143e-06,8.0156e-09
342,19.05,-2.6709e-06,1.1367e-08,1.4069e-06,7.9314e-09,1.4069e-06,7.9314e-09
343,19.1,-2.6569e-06,1.1248e-08,1.3995e-06,7.8483e-09,1.3995e-06,7.8483e-09
344,19.15,-2.643e-06,1.113e-08,1.3921e-06,7.7662e-09,1.3921e-06,7.7662e-09
345,19.2,-2.6292e-06,1.1014e-08,1.3848e-06,7.6852e-09,1.3848e-06,7.6852e-09
346,19.25,-2.6155e-06,1.0899e-08,1.3776e-06,7.6052e-09,1.3776e-06,7.6052e-09
347,19.3,-2.6019e-06,1.0786e-08,1.3705e-06,7.5263e-09,1.3705e-06,7.5263e-09
348,19.35,-2.5884e-06,1.0674e-08,1.3634e-06,7.4484e-09,1.3634e-06,7.4484e-09
349,19.4,-2.5751e-06,1.0564e-08,1.3563e-06,7.3715e-09,1.3563e-06,7.3715e-09
350,19.45,-2.5618e-06,1.0455e-08,1.3493e-06,7.2956e-09,1.3493e-06,7.2956e-09
351,19.5,-2.5486e-06,1.0348e-08,1.3424e-06,7.2207e-09,1.3424e-06,7.2207e-09
352,19.55,-2.5355e-06,1.0242e-08,1.3355e-06,7.1467e-09,1.3355e-06,7.1467e-09
353,19.6,-2.5226e-06,1.0137e-08,1.3286e-06,7.0736e-09,1.3286e-06,7.0736e-09
354,19.65,-2.5097e-06,1.0034e-08,1.3218e-06,7.0015e-09,1.3218e-06,7.0015e-09
355,19.7,-2.4969e-06,9.9317e-09,1.3151e-06,6.9303e-09,1.3151e-06,6.9303e-09
356,19.75,-2.4843e-06,9.831e-09,1.3084e-06,6.86e-09,1.3084e-06,6.86e-09
357,19.8,-2.4717e-06,9.7314e-09,1.3018e-06,6.7906e-09,1.3018e-06,6.7906e-09
358,19.85,-2.4592e-06,9.6332e-09,1.2952e-06,6.722e-09,1.2952e-06,6.722e-09
359,19.9,-2.4468e-06,9.5361e-09,1.2887e-06,6.6543e-09,1.2887e-06,6.6543e-09
360,19.95,-2.4345e-06,9.4403e-09,1.2822e-06,6.5875e-09,1.2822e-06,6.5875e-09
361,20.0,-2.4223e-06,9.3457e-09,1.2758e-06,6.5214e-09,1.2758e-06,6.5214e-09
362,20.05,-2.4102e-06,9.2522e-09,1.2694e-06,6.4563e-09,1.2694e-06,6.4563e-09
363,20.1,-2.3982e-06,9.1599e-09,1.263e-06,6.3919e-09,1.263e-06,6.3919e-09
364,20.15,-2.3863e-06,9.0688e-09,1.2567e-06,6.3283e-09,1.2567e-06,6.3283e-09
365,20.2,-2.3744e-06,8.9788e-09,1.2505e-06,6.2655e-09,1.2505e-06,6.2655e-09
366,20.25,-2.3627e-06,8.8899e-09,1.2443e-06,6.2034e-09,1.2443e-06,6.2034e-09
367,20.3,-2.351e-06,8.802e-09,1.2382e-06,6.1422e-09,1.2382e-06,6.1422e-09
368,20.35,-2.3394e-06,8.7153e-09,1.2321e-06,6.0817e-09,1.2321e-06,6.0817e-09
369,20.4,-2.3279e-06,8.6296e-09,1.226e-06,6.0219e-09,1.226e-06,6.0219e-09
370,20.45,-2.3165e-06,8.545e-09,1.22e-06,5.9628e-09,1.22e-06,5.9628e-09
371,20.5,-2.3052e-06,8.4614e-09,1.214e-06,5.9045e-09,1.214e-06,5.9045e-09
372,20.55,-2.294e-06,8.3788e-09,1.2081e-06,5.8469e-09,1.2081e-06,5.8469e-09
373,20.6,-2.2828e-06,8.2972e-09,1.2022e-06,5.79e-09,1.2022e-06,5.79e-09
374,20.65,-2.2717e-06,8.2166e-09,1.1964e-06,5.7337e-09,1.1964e-06,5.7337e-09
375,20.7,-2.2607e-06,8.1369e-09,1.1906e-06,5.6782e-09,1.1906e-06,5.6782e-09
376,20.75,-2.2498e-06,8.0583e-09,1.1848e-06,5.6233e-09,1.1848e-06,5.6233e-09
377,20.8,-2.239e-06,7.9805e-09,1.1791e-06,5.5691e-09,1.1791e-06,5.5691e-09
378,20.85,-2.2282e-06,7.9037e-09,1.1734e-06,5.5155e-09,1.1734e-06,5.5155e-09
379,20.9,-2.2175e-06,7.8278e-09,1.1678e-06,5.4625e-09,1.1678e-06,5.4625e-09
380,20.95,-2.2069e-06,7.7529e-09,1.1622e-06,5.4102e-09,1.1622e-06,5.4102e-09
381,21.0,-2.1964e-06,7.6788e-09,1.1566e-06,5.3585e-09,1.1566e-06,5.3585e-09
382,21.05,-2.1859e-06,7.6056e-09,1.1511e-06,5.3075e-09,1.1511e-06,5.3075e-09
383,21.1,-2.1755e-06,7.5332e-09,1.1456e-06,5.257e-09,1.1456e-06,5.257e-09
384,21.15,-2.1652e-06,7.4617e-09,1.1402e-06,5.2071e-09,1.1402e-06,5.2071e-09
385,21.2,-2.155e-06,7.3911e-09,1.1348e-06,5.1578e-09,1.1348e-06,5.1578e-09
386,21.25,-2.1448e-06,7.3213e-09,1.1295e-06,5.1091e-09,1.1295e-06,5.1091e-09
387,21.3,-2.1347e-06,7.2523e-09,1.1241e-06,5.061e-09,1.1241e-06,5.061e-09
388,21.35,-2.1247e-06,7.1841e-09,1.1189e-06,5.0134e-09,1.1189e-06,5.0134e-09
389,21.4,-2.1148e-06,7.1167e-09,1.1136e-06,4.9664e-09,1.1136e-06,4.9664e-09
390,21.45,-2.1049e-06,7.0501e-09,1.1084e-06,4.9199e-09,1.1084e-06,4.9199e-09
391,21.5,-2.0951e-06,6.9843e-09,1.1032e-06,4.874e-09,1.1032e-06,4.874e-09
392,21.55,-2.0853e-06,6.9192e-09,1.0981e-06,4.8286e-09,1.0981e-06,4.8286e-09
393,21.6,-2.0757e-06,6.8549e-09,1.093e-06,4.7837e-09,1.093e-06,4.7837e-09
394,21.65,-2.0661e-06,6.7913e-09,1.0879e-06,4.7394e-09,1.0879e-06,4.7394e-09
395,21.7,-2.0565e-06,6.7285e-09,1.0829e-06,4.6955e-09,1.0829e-06,4.6955e-09
396,21.75,-2.047e-06,6.6663e-09,1.0779e-06,4.6522e-09,1.0779e-06,4.6522e-09
397,21.8,-2.0376e-06,6.6049e-09,1.0729e-06,4.6093e-09,1.0729e-06,4.6093e-09
398,21.85,-2.0283e-06,6.5442e-09,1.068e-06,4.567e-09,1.068e-06,4.567e-09
399,21.9,-2.019e-06,6.4842e-09,1.0631e-06,4.5251e-09,1.0631e-06,4.5251e-09
400,21.95,-2.0098e-06,6.4249e-09,1.0583e-06,4.4837e-09,1.0583e-06,4.4837e-09
401,22.0,-2.0006e-06,6.3662e-09,1.0534e-06,4.4428e-09,1.0534e-06,4.4428e-09
402,22.05,-1.9915e-06,6.3082e-09,1.0487e-06,4.4023e-09,1.0487e-06,4.4023e-09
403,22.1,-1.9825e-06,6.2509e-09,1.0439e-06,4.3623e-09,1.0439e-06,4.3623e-09
404,22.15,-1.9735e-06,6.1942e-09,1.0392e-06,4.3228e-09,1.0392e-06,4.3228e-09
405,22.2,-1.9646e-06,6.1382e-09,1.0345e-06,4.2837e-09,1.0345e-06,4.2837e-09
406,22.25,-1.9558e-06,6.0827e-09,1.0298e-06,4.245e-09,1.0298e-06,4.245e-09
407,22.3,-1.947e-06,6.0279e-09,1.0252e-06,4.2068e-09,1.0252e-06,4.2068e-09
408,22.35,-1.9383e-06,5.9737e-09,1.0206e-06,4.1689e-09,1.0206e-06,4.1689e-09
409,22.4,-1.9296e-06,5.9202e-09,1.016e-06,4.1316e-09,1.016e-06,4.1316e-09
410,22.45,-1.921e-06,5.8672e-09,1.0115e-06,4.0946e-09,1.0115e-06,4.0946e-09
411,22.5,-1.9124e-06,5.8148e-09,1.007e-06,4.058e-09,1.007e-06,4.058e-09
412,22.55,-1.9039e-06,5.763e-09,1.0025e-06,4.0219e-09,1.0025e-06,4.0219e-09
413,22.6,-1.8955e-06,5.7117e-09,9.9803e-07,3.9861e-09,9.9803e-07,3.9861e-09
414,22.65,-1.8871e-06,5.6611e-09,9.9361e-07,3.9508e-09,9.9361e-07,3.9508e-09
415,22.7,-1.8788e-06,5.6109e-09,9.8922e-07,3.9158e-09,9.8922e-07,3.9158e-09
416,22.75,-1.8705e-06,5.5614e-09,9.8486e-07,3.8812e-09,9.8486e-07,3.8812e-09
417,22.8,-1.8623e-06,5.5123e-09,9.8053e-07,3.847e-09,9.8053e-07,3.847e-09
418,22.85,-1.8541e-06,5.4639e-09,9.7622e-07,3.8132e-09,9.7622e-07,3.8132e-09
419,22.9,-1.846e-06,5.4159e-09,9.7195e-07,3.7797e-09,9.7195e-07,3.7797e-09
420,22.95,-1.8379e-06,5.3685e-09,9.677e-07,3.7466e-09,9.677e-07,3.7466e-09
421,23.0,-1.8299e-06,5.3216e-09,9.6348e-07,3.7139e-09,9.6348e-07,3.7139e-09
422,23.05,-1.822e-06,5.2751e-09,9.5929e-07,3.6815e-09,9.5929e-07,3.6815e-09
423,23.1,-1.8141e-06,5.2292e-09,9.5512e-07,3.6495e-09,9.5512e-07,3.6495e-09
424,23.15,-1.8062e-06,5.1838e-09,9.5098e-07,3.6178e-09,9.5098e-07,3.6178e-09
425,23.2,-1.7984e-06,5.1389e-09,9.4687e-07,3.5865e-09,9.4687e-07,3.5865e-09
426,23.25,-1.7907e-06,5.0945e-09,9.4279e-07,3.5555e-09,9.4279e-07,3.5555e-09
427,23.3,-1.783e-06,5.0505e-09,9.3873e-07,3.5248e-09,9.3873e-07,3.5248e-09
428,23.35,-1.7753e-06,5.007e-09,9.347e-07,3.4944e-09,9.347e-07,3.4944e-09
429,23.4,-1.7677e-06,4.964e-09,9.3069e-07,3.4644e-09,9.3069e-07,3.4644e-09
430,23.45,-1.7602e-06,4.9214e-09,9.2671e-07,3.4347e-09,9.2671e-07,3.4347e-09
431,23.5,-1.7527e-06,4.8793e-09,9.2276e-07,3.4053e-09,9.2276e-07,3.4053e-09
432,23.55,-1.7452e-06,4.8377e-09,9.1883e-07,3.3763e-09,9.1883e-07,3.3763e-09
433,23.6,-1.7378e-06,4.7964e-09,9.1493e-07,3.3475e-09,9.1493e-07,3.3475e-09
434,23.65,-1.7304e-06,4.7557e-09,9.1105e-07,3.319e-09,9.1105e-07,3.319e-09
435,23.7,-1.7231e-06,4.7153e-09,9.0719e-07,3.2909e-09,9.0719e-07,3.2909e-09
436,23.75,-1.7159e-06,4.6754e-09,9.0336e-07,3.263e-09,9.0336e-07,3.263e-09
437,23.8,-1.7086e-06,4.6359e-09,8.9956e-07,3.2355e-09,8.9956e-07,3.2355e-09
438,23.85,-1.7015e-06,4.5968e-09,8.9577e-07,3.2082e-09,8.9577e-07,3.2082e-09
439,23.9,-1.6943e-06,4.5581e-09,8.9202e-07,3.1812e-09,8.9202e-07,3.1812e-09
440,23.95,-1.6872e-06,4.5198e-09,8.8828e-07,3.1545e-09,8.8828e-07,3.1545e-09
441,24.0,-1.6802e-06,4.4819e-09,8.8457e-07,3.128e-09,8.8457e-07,3.128e-09
442,24.05,-1.6732e-06,4.4445e-09,8.8088e-07,3.1019e-09,8.8088e-07,3.1019e-09
443,24.1,-1.6662e-06,4.4074e-09,8.7722e-07,3.076e-09,8.7722e-07,3.076e-09
444,24.15,-1.6593e-06,4.3706e-09,8.7357e-07,3.0504e-09,8.7357e-07,3.0504e-09
445,24.2,-1.6525e-06,4.3343e-09,8.6995e-07,3.025e-09,8.6995e-07,3.025e-09
446,24.25,-1.6456e-06,4.2984e-09,8.6636e-07,3e-09,8.6636e-07,3e-09
447,24.3,-1.6389e-06,4.2628e-09,8.6278e-07,2.9751e-09,8.6278e-07,2.9751e-09
448,24.35,-1.6321e-06,4.2275e-09,8.5923e-07,2.9505e-09,8.5923e-07,2.9505e-09
449,24.4,-1.6254e-06,4.1927e-09,8.557e-07,2.9262e-09,8.557e-07,2.9262e-09
450,24.45,-1.6188e-06,4.1582e-09,8.5219e-07,2.9021e-09,8.5219e-07,2.9021e-09
451,24.5,-1.6121e-06,4.124e-09,8.487e-07,2.8783e-09,8.487e-07,2.8783e-09
452,24.55,-1.6056e-06,4.0902e-09,8.4524e-07,2.8547e-09,8.4524e-07,2.8547e-09
453,24.6,-1.599e-06,4.0568e-09,8.4179e-07,2.8314e-09,8.4179e-07,2.8314e-09
454,24.65,-1.5925e-06,4.0237e-09,8.3837e-07,2.8083e-09,8.3837e-07,2.8083e-09
455,24.7,-1.5861e-06,3.9909e-09,8.3496e-07,2.7854e-09,8.3496e-07,2.7854e-09
456,24.75,-1.5796e-06,3.9584e-09,8.3158e-07,2.7628e-09,8.3158e-07,2.7628e-09
457,24.8,-1.5733e-06,3.9263e-09,8.2822e-07,2.7403e-09,8.2822e-07,2.7403e-09
458,24.85,-1.5669e-06,3.8945e-09,8.2488e-07,2.7182e-09,8.2488e-07,2.7182e-09
459,24.9,-1.5606e-06,3.863e-09,8.2156e-07,2.6962e-09,8.2156e-07,2.6962e-09
460,24.95,-1.5544e-06,3.8319e-09,8.1826e-07,2.6745e-09,8.1826e-07,2.6745e-09
461,25.0,-1.5481e-06,3.801e-09,8.1497e-07,2.6529e-09,8.1497e-07,2.6529e-09
462,25.05,-1.5419e-06,3.7705e-09,8.1171e-07,2.6316e-09,8.1171e-07,2.6316e-09
463,25.1,-1.5358e-06,3.7403e-09,8.0847e-07,2.6105e-09,8.0847e-07,2.6105e-09
464,25.15,-1.5297e-06,3.7103e-09,8.0525e-07,2.5896e-09,8.0525e-07,2.5896e-09
465,25.2,-1.5236e-06,3.6807e-09,8.0204e-07,2.5689e-09,8.0204e-07,2.5689e-09
466,25.25,-1.5175e-06,3.6514e-09,7.9886e-07,2.5485e-09,7.9886e-07,2.5485e-09
467,25.3,-1.5115e-06,3.6223e-09,7.9569e-07,2.5282e-09,7.9569e-07,2.5282e-09
468,25.35,-1.5056e-06,3.5935e-09,7.9255e-07,2.5081e-09,7.9255e-07,2.5081e-09
469,25.4,-1.4996e-06,3.5651e-09,7.8942e-07,2.4883e-09,7.8942e-07,2.4883e-09
470,25.45,-1.4937e-06,3.5369e-09,7.8631e-07,2.4686e-09,7.8631e-07,2.4686e-09
471,25.5,-1.4879e-06,3.5089e-09,7.8322e-07,2.4491e-09,7.8322e-07,2.4491e-09
472,25.55,-1.482e-06,3.4813e-09,7.8014e-07,2.4298e-09,7.8014e-07,2.4298e-09
473,25.6,-1.4762e-06,3.4539e-09,7.7709e-07,2.4107e-09,7.7709e-07,2.4107e-09
474,25.65,-1.4705e-06,3.4268e-09,7.7405e-07,2.3918e-09,7.7405e-07,2.3918e-09
475,25.7,-1.4647e-06,3.4e-09,7.7103e-07,2.373e-09,7.7103e-07,2.373e-09
476,25.75,-1.459e-06,3.3734e-09,7.6803e-07,2.3545e-09,7.6803e-07,2.3545e-09
477,25.8,-1.4534e-06,3.347e-09,7.6505e-07,2.3361e-09,7.6505e-07,2.3361e-09
478,25.85,-1.4477e-06,3.321e-09,7.6208e-07,2.3179e-09,7.6208e-07,2.3179e-09
479,25.9,-1.4421e-06,3.2952e-09,7.5913e-07,2.2999e-09,7.5913e-07,2.2999e-09
480,25.95,-1.4366e-06,3.2696e-09,7.562e-07,2.2821e-09,7.562e-07,2.2821e-09
481,26.0,-1.431e-06,3.2443e-09,7.5328e-07,2.2644e-09,7.5328e-07,2.2644e-09
482,26.05,-1.4255e-06,3.2192e-09,7.5038e-07,2.2469e-09,7.5038e-07,2.2469e-09
483,26.1,-1.4201e-06,3.1943e-09,7.475e-07,2.2296e-09,7.475e-07,2.2296e-09
484,26.15,-1.4146e-06,3.1697e-09,7.4464e-07,2.2124e-09,7.4464e-07,2.2124e-09
485,26.2,-1.4092e-06,3.1454e-09,7.4179e-07,2.1954e-09,7.4179e-07,2.1954e-09
486,26.25,-1.4038e-06,3.1213e-09,7.3896e-07,2.1786e-09,7.3896e-07,2.1786e-09
487,26.3,-1.3985e-06,3.0974e-09,7.3614e-07,2.1619e-09,7.3614e-07,2.1619e-09
488,26.35,-1.3932e-06,3.0737e-09,7.3334e-07,2.1454e-09,7.3334e-07,2.1454e-09
489,26.4,-1.3879e-06,3.0502e-09,7.3055e-07,2.129e-09,7.3055e-07,2.129e-09
490,26.45,-1.3826e-06,3.027e-09,7.2779e-07,2.1128e-09,7.2779e-07,2.1128e-09
491,26.5,-1.3774e-06,3.004e-09,7.2503e-07,2.0967e-09,7.2503e-07,2.0967e-09
492,26.55,-1.3722e-06,2.9812e-09,7.223e-07,2.0808e-09,7.223e-07,2.0808e-09
493,26.6,-1.367e-06,2.9586e-09,7.1957e-07,2.0651e-09,7.1957e-07,2.0651e-09
494,26.65,-1.3619e-06,2.9363e-09,7.1687e-07,2.0495e-09,7.1687e-07,2.0495e-09
495,26.7,-1.3568e-06,2.9141e-09,7.1418e-07,2.034e-09,7.1418e-07,2.034e-09
496,26.75,-1.3517e-06,2.8922e-09,7.115e-07,2.0187e-09,7.115e-07,2.0187e-09
497,26.8,-1.3467e-06,2.8704e-09,7.0884e-07,2.0035e-09,7.0884e-07,2.0035e-09
498,26.85,-1.3416e-06,2.8489e-09,7.0619e-07,1.9885e-09,7.0619e-07,1.9885e-09
499,26.9,-1.3366e-06,2.8276e-09,7.0356e-07,1.9736e-09,7.0356e-07,1.9736e-09
500,26.95,-1.3317e-06,2.8064e-09,7.0094e-07,1.9589e-09,7.0094e-07,1.9589e-09
501,27.0,-1.3267e-06,2.7855e-09,6.9834e-07,1.9443e-09,6.9834e-07,1.9443e-09
502,27.05,-1.3218e-06,2.7648e-09,6.9575e-07,1.9298e-09,6.9575e-07,1.9298e-09
503,27.1,-1.3169e-06,2.7442e-09,6.9318e-07,1.9154e-09,6.9318e-07,1.9154e-09
504,27.15,-1.3121e-06,2.7238e-09,6.9062e-07,1.9012e-09,6.9062e-07,1.9012e-09
505,27.2,-1.3073e-06,2.7037e-09,6.8808e-07,1.8871e-09,6.8808e-07,1.8871e-09
506,27.25,-1.3025e-06,2.6837e-09,6.8555e-07,1.8732e-09,6.8555e-07,1.8732e-09
507,27.3,-1.2977e-06,2.6639e-09,6.8303e-07,1.8594e-09,6.8303e-07,1.8594e-09
508,27.35,-1.2929e-06,2.6442e-09,6.8053e-07,1.8457e-09,6.8053e-07,1.8457e-09
509,27.4,-1.2882e-06,2.6248e-09,6.7804e-07,1.8321e-09,6.7804e-07,1.8321e-09
510,27.45,-1.2835e-06,2.6055e-09,6.7556e-07,1.8187e-09,6.7556e-07,1.8187e-09
511,27.5,-1.2788e-06,2.5864e-09,6.731e-07,1.8053e-09,6.731e-07,1.8053e-09
512,27.55,-1.2742e-06,2.5675e-09,6.7065e-07,1.7921e-09,6.7065e-07,1.7921e-09
